,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label
0,spotify:track:2mr5FEkdDUjnTP1e33IVX3,Easy Girl,spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y,Coconut Records,spotify:album:4FeD2BdcaGX75b5X1gvvsg,Nighttiming,spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y,Coconut Records,2007-04-17,https://i.scdn.co/image/ab67616d0000b27348ee010a6e1cc58f984524a8,1,11,135052,https://p.scdn.co/mp3-preview/3c1027b59cbbfa1d9c53df0141d2728f20ab158f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,25,,2017-04-22T07:40:25Z,0.581,0.654,2.0,-5.46,1.0,0.0286,0.348,0.0,0.282,0.576,103.065,4.0,False
1,spotify:track:39u2PsqrAZpZ0KPx6CjasV,Droppin' Seeds (feat. Lil' Wayne),"spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:55Aa2cqylxrFIXC767Z865","Tyler\, The Creator, Lil Wayne",spotify:album:2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler\, The Creator",2017-07-21,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,1,11,60000,https://p.scdn.co/mp3-preview/b935e2a6d96a9375d876faef784a2c40c8a2b18b?cid=9950ac751e34487dbbe027c4fd7f8e99,True,58,,2017-07-28T06:35:05Z,0.401,0.532,5.0,-11.554,0.0,0.508,0.103,0.0,0.478,0.413,84.777,4.0,False
2,spotify:track:0ZUXj43fteJjwvGoLMntte,"If You Were There, Beware",spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,spotify:album:6rsQnwaoJHxXJRCDBPkBRw,Favourite Worst Nightmare (Standard Version),spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,2007-04-24,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,1,9,274200,https://p.scdn.co/mp3-preview/54b3a4a7b20a9b5b5df0b60bc12095385837028c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,49,,2017-04-22T07:40:47Z,0.232,0.8,4.0,-6.853,0.0,0.0536,0.00082,0.0244,0.128,0.224,201.1,3.0,False
3,spotify:track:6YGVK9xgH2LI4Ghw6gqUxx,Paint Me Silver,spotify:artist:4skJp5OKvcc9eKokiuhi2s,Pond,spotify:album:2SHfOtnJrQc1piY2KyMOIF,The Weather,spotify:artist:4skJp5OKvcc9eKokiuhi2s,Pond,2017-05-05,https://i.scdn.co/image/ab67616d0000b273171bd0187368a4789437067e,1,3,224973,https://p.scdn.co/mp3-preview/89ca8bf4c8a3f7a7f43ea737806d71e167b94786?cid=9950ac751e34487dbbe027c4fd7f8e99,False,59,,2019-12-27T17:14:49Z,0.335,0.825,8.0,-5.598,1.0,0.0506,0.00523,0.00429,0.226,0.682,177.156,4.0,True
4,spotify:track:22DVl7C6ceEmFuYM1jXZDY,What You Want,spotify:artist:6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi,spotify:album:1FXPtnn4O36fH3A2Ih2ThZ,Live from Trona,spotify:artist:6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi,2016-08-05,https://i.scdn.co/image/ab67616d0000b2739ebc248254e05f1e4c50dc7e,1,2,213800,https://p.scdn.co/mp3-preview/055e65d409903514b56dc7e59179a50da07806be?cid=9950ac751e34487dbbe027c4fd7f8e99,False,25,,2017-02-01T22:23:00Z,0.584,0.928,11.0,-4.862,0.0,0.0365,0.00233,0.00172,0.447,0.747,100.065,4.0,False
5,spotify:track:6Rkr9b1ooiIgcebMRATPhD,Lesser Heaven,"spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:7yxi31szvlbwvKq9dYOmFI, spotify:artist:6g4q7DPLaVqWGnfMpAb2Yd","Brian Eno, Jon Hopkins, Leo Abrahams",spotify:album:47e7SP8MtzYKK8Lm3gEK2i,Small Craft On A Milk Sea,"spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:7yxi31szvlbwvKq9dYOmFI, spotify:artist:6g4q7DPLaVqWGnfMpAb2Yd","Brian Eno, Jon Hopkins, Leo Abrahams",2010-11-01,https://i.scdn.co/image/ab67616d0000b273b6dd5b760aa653f737d6252e,1,11,200800,https://p.scdn.co/mp3-preview/762595637de4f17a59f062f16d6e30f5cf41471c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,24,,2017-04-22T07:50:06Z,0.151,0.129,4.0,-21.225,1.0,0.0566,0.98,0.969,0.0725,0.0377,170.548,3.0,False
6,spotify:track:4RNeJ1qy9feTpgCI8xxQM1,Adam's Song,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182,spotify:album:3ReTZiBrVtZaufbC1tCHfM,Enema Of The State,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182,1999-01-01,https://i.scdn.co/image/ab67616d0000b27325f35a3c475262d16d851727,1,7,249560,,False,0,,2017-11-25T21:17:27Z,0.517,0.754,0.0,-5.754,1.0,0.0338,0.0438,0.0,0.364,0.49,136.089,4.0,False
7,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,spotify:album:1s9tU91VJt4sU5owi29GD3,True,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,2013-09-13,https://i.scdn.co/image/ab67616d0000b2734cfcceb6f9b1aae8752810e7,1,1,247426,,False,25,,2017-04-22T08:00:48Z,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.0,True
8,spotify:track:1HI4vMcE5Tvu58UnLcrd5R,Pulling Mussels (From The Shell),spotify:artist:6Jrj26oAY96EEC2lqC6fua,Squeeze,spotify:album:6A6fBHJrPa2DAcezcG8M3e,Greatest Hits,spotify:artist:6Jrj26oAY96EEC2lqC6fua,Squeeze,1992-01-01,https://i.scdn.co/image/ab67616d0000b273061f4cdc04b61ecf0d35b91a,1,7,239600,,False,0,,2017-05-03T22:35:56Z,0.594,0.67,0.0,-12.771,1.0,0.0416,0.021,9.81e-05,0.245,0.934,142.743,4.0,False
9,spotify:track:1X5kkInKeIHu28GtayVpdA,Grey,spotify:artist:6ChsWygqG6IhGEC312KSIQ,Ken Nordine,spotify:album:2zk7d13GlvArJTHlRHDdzO,Colors,spotify:artist:6ChsWygqG6IhGEC312KSIQ,Ken Nordine,1966,https://i.scdn.co/image/ab67616d0000b2737c3c6d985722e84788d9de88,1,33,100760,https://p.scdn.co/mp3-preview/f0c6df67dfce1de7dc93de3ddd22ba5a3cc46c37?cid=9950ac751e34487dbbe027c4fd7f8e99,False,6,,2015-12-28T09:17:16Z,0.702,0.191,8.0,-17.699,1.0,0.528,0.0744,5.14e-05,0.069,0.451,76.384,4.0,False
